Text,Label
"ಕಳರಿದ ಮಲ್ಲಮಲ್ಲ ಬೀರೆರ್‌ಲಾ ಕಳರಿ ಕಲ್ಪೆರ ತುಳುನಾಡ್‌ಗ್ ಬರ್ಪೆದೆರ್. ಮುಲ್ತ ಕಳರಿದ ಶೈಲಿ 'ತುಳುನಾಡನ್ ಕಳರಿ' ಬಾರಿ ಎಡ್ಡೆಂತಿನವುಂದ್ ಪನ್ಪೆದೆರ್.
#KooInTulu
#ನಿಕುಲೆಗ್_ಗೊತ್ತುಂಡಾ? ",Neutral
"Tulu letter: ké, ಕೇ', കേ'

#TuluBaravu
#ReviveTuluScript ",Neutral
Best scene . Really kanneer bathnd.😢,Mixed
ಇರೆನೆರ್ದ್ ಸಂತುನ comedy ಸೂಪರ್ ಅಪುಂಡು ಮಾರೆ seriously,Negative
Hera peri review bodu😂😂,Neutral
Eruna mala fen like in your acting ️️,Positive
"""ನರಮಾನಿ ಏತ್ ಸ್ವಾರ್ಥಿ.......!",Neutral
Bro you're pukli is we're now,Not Tulu
Avvonji  Santhu  n next episode  d thojpale 😂😂,Neutral
suuuuuper bale telipuga,Positive
Imbe yer ya moojikas daye,Negative
Meaningful word last panya,Positive
Enchina karmada best ever comedy...,Negative
Dislike maltinaklen china g dakkodu😜....,Neutral
SOLMELU TULUNADEDA MATHA KALAVIDEREG🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼,Positive
Gas paass aayi,Not Tulu
"ಎಕ್ಕಾರ್‌ಡ್ ಬಲೆ ತುಲು ಲಿಪಿ ಕಲ್ಪುಗ

#TuluLipi #TuluScript #TuluBaravu #TuluBarahu #JaiTulunad #BTLK #TuluScriptLearningClass #BaleTuluLipiKalpuga #Kudla #Yekkar #Jaitulunad #TuluAcademy ",Neutral
Yedde try ...but background music flop .baka vonthe clear baka slow patherle .nanala yedde avoli,Mixed
My native is mangaluru but iam professional event manager in reputed event firm since 2004,Not Tulu
Padhyana ganapathi bhagavathike,Neutral
Pukuli Ganesh na pukuli,Neutral
masth porludha concept.thanks,Positive
Plz video clip upload malpule,Positive
Oii full movie upload malpuve mare,Neutral
Prashamsa leka ijji,Neutral
awwesome..............eth sala kendena i dont even knoww.....awesome song.,Positive
"""Dude pukkulii means something else in manglore,udupians language 😂😂✌️""",Not Tulu
Love all your videos...even vlog.....,Not Tulu
Super  song  dada,Not Tulu
Manju shetty u r super,Not Tulu
"Arvind anne masseg korna yedde undu,  kandani budeddhin yedded thunda samsara yedded uppundu ,",Positive
Pukuli nina ajjerma bvc,Negative
Nice team work  I Like prashamsa,Not Tulu
Err nerdh dumbuu korter comments,Neutral
Tulu web series yedde prayathna yedde avad,Positive
Vamanjur is the best..❤👏👏👏👏,Not Tulu
ಹೋರಾಟ ಹೋರಾಟ #ಸಂತು ಉಲಾಯಿ ಬರಮುಟ್ಟ ಹೋರಾಟ 😂😂,Neutral
"13:21 aaye mandebeccha,d kuda bayyag podu pardippe..",Neutral
"Keep Doing """" Silly """" Valuable Vedios... Good Job....""",Not Tulu
Che pant parithundu'ye🤦🏻‍♂️ posath deth korle,Neutral
camera man naklEnglisha telike kEnglishund  Haasya top level,Positive
Yena pookuli mayaaa kuuu😂😂😂,Neutral
ಚಿಕ್ಕು ಕೊನೆರೆ ಆಯೆ ಜ್ಯೂಸ್ ಅಂಗಡಿ ಪೊತುನತ್ತ್😂😂,Neutral
"i like it.""",Not Tulu
Papa yrla ayeg pukuli korle mare jor kakkus baidnandh ayeg,Neutral
super comedy nellu and team permannur,Not Tulu
Arpith Anna loved your hairstyle🤩🤭..... You look like Chris Gayle lite 🤣,Not Tulu
"""ವಿನಯ ಅಣ್ಣ,  ಕೋಮಿಡಿ  15ಮಿನಿಟ್  ಮಲಪೊಡು  .""",Neutral
Yank starting da 2 min de gothand av white da gaadi Arpit na ath andh,Mixed
"ಬಂಟ್ವಾಳ ತಾಲೂಕುಡು ತುಲು ಲಿಪಿ ಕಲ್ಪುನಕಲೆಗ್ ಒಂಜಿ‌ ಅವಕಾಸೊ

#TuluScriptClass #BaleTuluLipiKalpuga
#TuluBaravu #TuluLipi #TuluBarahu #TuluScript
#JaiTulunad #Bantwala ",Neutral
"""4:15, 4:28 4:40 4:45😂  super punching comedy 😁😁jp thuminadu""",Not Tulu
Worst comedy..boreing...telikeda tenali enna favourite team...10 yeard tuvondu ulle...First time ethonji boreing aini...sorry,Negative
ಈ ಸಿನಿಮಾ ಫುಲ್ ಸಿನಿಮಾವಾಗಿ ಯಾವಾಗ ಬರುತ್ತೆ ತಿಳಿಸಿ ಕೊಡಿ ಪ್ಲೀಸ್,Not Tulu
"""ajji is no more,,sad news""",Not Tulu
Samuel you are soo hambal parsan rakshitha youvar gret so quet💞💞💞💞,Not Tulu
Mad in kudla - ?,Neutral
"Super anna,, i love this song,, nanala enchene mast album malpule",Positive
Anchoring mlpunar er onthe jasthi tulu ne patherle .,Mixed
"Releasing Soon

#GenaSiri #transcriptor #JaiTulunad #TuluLipi #TuluBaravu #TuluScript #TuluBarahu ",Not Tulu
One like for military atth mesthri🤣🤣🤣🤣,Positive
ಓಂ ನಾಮ  ಶಿವ   ಓಂ ಗುಳಿಗ,Neutral
Picture downloadalple appe teacher,Neutral
Appe teacher ath ninna amme teacher,Positive
ನನಲಾತ್ ರೈಸ್ ಲೆ 🙏🙏🤣,Positive
"ತುಲು ಲಿಪಿಟ್ ಸಾಧನೆ ಮಲ್ದಿನ ಜೋಕುಲು❤️❤️

#TuluScript #TuluScriptExam #TuluScriptExamResults #JaiTulunad #TuluAcademy #BaleTuluLipiKalpuga #BTLK ",Positive
roopesh n acting over apundu. dubbe anchoring,Negative
Super bothhh entirely so good,Positive
"ಧನ್ಯವಾದ ನಮ್ಮ ಕುಡ್ಲ 👏""",Positive
Aadhunik song pani kati ramro garnuvyko I like it,Not Tulu
Amazing only you guys can do such amazing videos,Not Tulu
Aayena pukuli maya ge,Neutral
"ತುಳುನಾಡ ರಾಜೆ, ತುಳುವಾಲ ಬಲೀಂದ್ರನ್ ಸುಗಿಪೆರೆ ತಾರೆದ ಕೋಲುಗು ಬೊಲ್ದು  ಕುಂಟು ಸುತ್ತುದು ಬಚ್ಚಿರೆ ಬಜ್ಜೆಯಿ, ತುಂಡು ತಾರಾಯಿ, ಬಜಿಲ್, ಪುಡಾಯಿಡ್ ದೀವೊಂದು ಪೊರ್ತು ಕಂತ್‌ನಗ ಕಂಡೊಗ್ ಪೋದು ತುಡರ್ ದೀದ್ ಲೋಕೊಗು ಎದುಕೊನುನ ಬಲೀಂದ್ರ ಪರ್ಬ.

#ತುಡರ್_ಪರ್ಬ ",Neutral
"ಸಾಹಿತ್ಯ, ಗಾಯನ, ವಿಡಿಯೋ, ಸಂಕಲನ ಮಾತಲ ಮಸ್ತ್ ಪೊರ್ಲು ಬೈದ್ಂಡ್ ತಂಡೊಗು ಗೇಲಾವಡ್.❤""",Positive
Yarannu kilagi kanabardu.yennuva sandesha.!superb.,Not Tulu
Aa Porludu Porlu Porlu E Tulunadu,Positive
Really I fully enjoyed... sooperb,Not Tulu
I know Tulu Language little bit...,Not Tulu
Masth shoku aathundu sir nikalena comedy,Positive
start aandu namana parba!!,Positive
Moovie tojapavunu atta  kali  scene  tojapavuna?,Neutral
I love you ajji 😘😘😊😊,Not Tulu
"Ill illad Tuluva kodi! 

This November let us hoist our flag on every homes of #Tulunad. Our language deserves recognition. Our language is no lesser than other #dravidian languages. 

#TuluOfficialInKA_KL
#TuluRaajyotsava
 #1stNov #statehoodday ",Mixed
ಕಾಸ್ ಓಲ್ದೀಪರ್ ನಾಟಕದ ಆಡಿಯೋ ಫುಲ್ ಪಾಡ್ಲೆ,Positive
deepak rai always top,Not Tulu
baari shok atand,Positive
Fish fresh Undu 😋 😍 Stay blessed always 🎊 ❤,Positive
Bro FITST LEARN TULU,Not Tulu
"10-12 Varsha,da dumbuda radio mirchi,da feel batthnd..",Positive
"""Music is good 😍😍😍 but lyricss .....",Not Tulu
Feeling bore ...ooooppphhh,Mixed
Trailer tunaga yanla anchane yeniye aanda kode movie tuye next level undu movie 🔥,Positive
Super ye... vinayak,Positive
Superb good job by prashampsa team superb acting by all the 3,Not Tulu
Pirak da porlunu kanneduru thojayar🙏🙏🙏🙏😍👌,Positive
Any tuluwas here 🇮🇳🇮🇳,Not Tulu
"ತುಳುಟ್ ಪಾತೆರ್ನ್ಡ ಅಶುದ್ಧ ಆಪುಜಿ, ತುಳುವಗ್ ಮಗೆ ಆದ್ ಪುಟ್ಟಿನೆಡ್ದ್ ತುಳುಬಾಸೆಡ್ ಪಾತೆರುವೆ' ಪಂದ್ ಪಂತಿನ ಆಚಾರ್ಯ ಮಧ್ವೆರ್ ಪುಟ್ಟಿನ ಈ ಪುಣ್ಯದಿನೊತಾನಿ ಆರೆನ್ ಸುಗಿಪುಗ.
#KooInTulu ",Neutral
"""""""pira teer poyal""""😂😂😂 👏👏👏👏""",Neutral
Spr acct Shashi anna all the best team' 🎉❤❤❤,Not Tulu
"Bro your vedio are super""",Not Tulu
Full movie yepa padvar,Neutral
Next time : varun Dhawan's cooli or judwa 2,Not Tulu
Fan da Gaaali barondu undu bro😂😂❤❤❤❤,Mixed
"I enjoying ur every episode.""",Not Tulu
Romantic pukuli song !! Epic..,Not Tulu
Dislike daaye malpwera eeth super programme uppunaga,Positive
tulu comedyda kick tuluverege gotta.,Positive
ದಿನೇಶೇ ಆಲೇನೆ  ತೂಪೆ....  ಆಲೇನೆ ತೂಪೆ 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌,Neutral
23 min g punching dialogue,Positive
"""Rakshita,vikasag golibaje dayeg korthijjjjjjjjjjjjaaaaaaaa😂😂😂😂""",Negative
"""Full meals comedy ,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍super""",Not Tulu
dala unda da ottugu aah silver play button la sale g unda,Mixed
kapikad is a true legend,Not Tulu
Masth like undu serial.. tnk u all,Positive
Waltar sir namasthe  ck prasanth supar,Positive
Yekka saka thulu full movie,Positive
"ಸಾಮಾಜಿಕ ನ್ಯಾಯೊ, ದಲಿತೆರೆಗಾದ್, ವಿದ್ಯೆಗಾದ್ ಪೊರುಂಬಾಟ ಮಲ್ತಿನ ಕುದ್ಮಲ್ ರಂಗರಾವ್ ಮೆರೆನ ಪುಟ್ಟುದಿನ ದಿನತಾನಿ ಮೆರೆನ್ ನೆನೆತೊನುಗ..
#KooInTulu ",Neutral
"ಮಧೂರು ಶ್ರೀ ಮದನಂತೇಶ್ವರ ವಿನಾಯಕ ದೇವಲ್ಯೊನು ತೌಳವ ವಾಸ್ತುಶಿಲ್ಪದ ಪ್ರಕಾರ ಕಟ್ಟದ್ಂಡ್. ಮುಲ್ಪದ ಗಣಪತಿನ್ 'ಬೊಡ್ಡಜ್ಜೆ' 'ಬೊಡ್ಡ ಗಣೇಶೆ' ಪಂದ್‌ಲಾ ಲೆಪ್ಪುವೆರ್.
#KooInTulu
#ನಮ್ಮ_ಊರು ",Neutral
Sabai comments garne bahirako matra xa taa,Not Tulu
Really not expected 😘😘😘😘😘,Not Tulu
"Benki dosta,,,,, especially that piles scene",Not Tulu
jai tulunad.....patherdh oripaga namma tulu bhaase nu,Positive
Wow super akka ❤,Positive
Entrainment in under one roof,Not Tulu
Soooper movie mosa ejji....time pass and Jai Tulunadu,Positive
Bega 2 nd part padle,Neutral
Last baidini ar santu aa,Neutral
Please next time poki maya song ..... I am waiting your song,Not Tulu
Yebe bakaasure 😂mella thinlla 😂,Negative
"""Santu g corona battnd ge andaaaa , aikke santu ijje ,, satyaaa naaaaa????""",Neutral
Kamblada msg korina Bari supper Athnd ..,Positive
"""Please upload kasoldipar,pudar deethiji,akka,aduperla yavu,nikulu matha ullaratha,""",Neutral
yappa neer full undu,Neutral
Undu padya kendddh kudla g ithina moke double aathnd namma tulunadu ge jai,Positive
"ಸುದ್ಧ' ತುಳು ಚಿತ್ರಗ್ 2006ಟ್ ಓಸಿಯನ್ ಫಿಲ್ಮ್ ಫೆಸ್ಟಿವಲ್‌ಡ್ 'ಉತ್ತಮ ಭಾರತೀಯ ಸಿನಿಮಾ' ಪನ್ಪಿ ಮಾನಾದಿಗೆ ತಿಕ್ಕ್‌ದ್ಂಡ್.
#KooInTulu ",Neutral
Part 2 malpuvara bro atthu ending aanda.,Mixed
En guru e range ge idde masth guru,Not Tulu
ಮಾತೆರೆಗುಲ ಸೊಲ್ಮೆಲು ಯಂಕುಲೆಗುಲ ಮಸ್ತ್ ಕುಶಿ ಆವೊಂದುಂಡು 😀😀😀,Positive
Yenchi trol ye 😂😂😂spr trol ye 😂😂,Negative
Oh ma Go true luv!!!!!,Not Tulu
Gunjan ka dard,Not Tulu
Anna kambala da bagge vedio malpi,Neutral
"ತುಲು ಬಾಸೆ ಆಯಿನಾತ್‌ ಬೇಗ ಅಧಿಕೃತ ಆವಡ್ ಪನ್ಪಿ ದಿಟ್ಟಿಡ್ ದೇವೆರೆಡೊಂಜಿ ಸುಗಿಪು

#TuluOfficialinKA_KL #JaiTulunad ",Mixed
"Super comedy', ""Please send me the link of Chimpu's episode."", 'Making superb athnd",Positive
Good performance team........a roopesh n deppule marre. Nikleg Bethe yerla tikkijera.,Mixed
Bari shokuda song❤,Positive
Nanku deveruller audio budle🙏,Positive
"""1 laksha price amount bari kammi andu",Neutral
Mood changes with these videos 😅😅,Not Tulu
Pukuli thikkunda pannle bro.....,Neutral
"ಬೊಲ್ತೆರ್‌ದ ಅರ್ವ ಒಂತೆ ಸಮೆ ಅಜಿಲರಸೆರೆನ ರಾಜಧಾನಿ ಆದಿತ್ತ್ಂಡ್.
#ನಿಕುಲೆಗ್_ಗೊತ್ತುಂಡಾ?
#KooInTulu ",Neutral
a maala banji dar  oleere,Mixed
Mobile boduu... Wow...,Positive
Yenchi saav da blinking,Negative
"ಒಡಿಪುದಾರ್ ಆಯಿನ ಬೆಳ್ಳೆ ಮೋನಪ್ಪ ಹೆಗ್ಡೆ ಹೃದ್ರೋಗ, ವೈದ್ಯಕೀಯ ಕ್ಷೇತ್ರೊಡ್ ಮಾಮಲ್ಲ ಸಾಧನೆ ಮಲ್ದಿನಾರ್. ಲಂಡನ್‌ದ ಮಾತಾ ರಾಯಲ್ ಕಾಲೇಜ್‌ಲೆನ ಫೆಲೋಶಿಪ್ ಪಡೆಯಿನ ಸುರುತ ತುಳುವೆರ್ ಪನ್ಪಿ ಪುಗರ್ತೆ ಮೆರೆಗ್ ಉಂಡು. ಮೆರೆನ ಈ ಸಾಧನೆಲೆನ್ ಗುರ್ತಿಸಾದ್ ಭಾರತ ಸರ್ಕಾರ ಪದ್ಮ ವಿಭೂಷಣ ಪ್ರಶಸ್ತಿ ಕೊರ್ದ್ ಮಾನಾದಿಗೆ ಮಲ್ದುಂಡು.

#ನಮ್ಮ_ತುಳುವೆರ್ ",Positive
Oh my pukuli ❤,Not Tulu
दामी छ है हजुर गित सफलताको सुभकामना,Not Tulu
forever no1 ....outstanding performance from prasamsa team long live God bless,Not Tulu
ಆದರೆ rummy add ಒಂದು ಬೇಡಿತ್ತು,Not Tulu
Waav supperv. Telth telh saakand,Positive
Im from  karala  but like it super song bulle ban martara super,Positive
"ಆವೊಲಿ.....ಈರ್ ಸೂಪರ್ ...👏👏👏👏👍""",Positive
Siddhu character manpinar yenk masth ishta apnd.... arna nija pudar dada yeregla gottithnda panle,Positive
ಮಂಜು ರೈ ಮೂಳೂರು ಸೂಪರ್,Not Tulu
Frist time Tulu keltidini .yenu tilitilla . kannadadalli aagidre channagirodu,Not Tulu
"""ತುಂಬಾ  ಸುಂದರವಾಗಿ  ಮೂಡಿ ಬಂದಿದೆ. ಎಲ್ಲಾ  ಕಲಾವಿದರೂ  ಶ್ರೇಷ್ಠ  ಅಭಿನಯವನ್ನು  ನೀಡಿದ್ದಾರೆ.",Not Tulu
"And support our NEW PROGRAMME DANCE 2 DANCE..  :)""",Not Tulu
"""Nice ..clean comedy",Not Tulu
1 laksha price amount bari kammi andu,Negative
Masthu yedde klsa mlthar.,Positive
"""Goosebumps starts at  10:54 🔥🙏",Not Tulu
Spr manju rai sir,Not Tulu
"RT @TaulavaSpeaks: ನಮನ ಅವಸ್ತೆ!!!🤦‍♂️
#Tulu #Tulunad #DubbingInTulu #FilmIndustry ",Negative
Haha super concept dialogue acting mata super attund....,Positive
Av jabbe padhina jana yer.... Byaaa.. Ssttt acting,Mixed
Kaanuunu maadiddu maane ನನಗೋಸ್ಕರ ಎಂದು ತಿಳಿಯಬೇಕು.ರಾಜಯೋಗ.,Not Tulu
tulunad dhakl poora umbena pukli Nadere baider 🤣  ...,Neutral
Bari shok Athnd akka ✨🙏🏻🤩,Positive
Akka super your videos,Positive
ಮದುವೆಗೂ ಮುಂಚೆ ನಿಮ್ಮ ಕಾಮಿಡಿ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಬರ್ತಿತ್ತು \U0001f972\U0001f972\U0001f972\U0001f972ಈಗ ಏಕೆ ತುಂಬಾ ಡಲ್ಲಾಗಿ ಬಿಟ್ಟಿದ್ದೀರಾ,Not Tulu
Full movie korlaya,Positive
E page daregh full confuse aavu ...kudladaklena comment tudhu 😂😂,Neutral
Mathernala yedde athund,Positive
@speed2588  tq TQ 😂,Not Tulu
Everyone's favourite in Tulu Nadu!,Not Tulu
ದೈವ devere  gu ಅವಮಾನ malpochi Plz...... 😒😒😒😈😈😈😈,Negative
Supper ArunernaTeam daklena..Six hakere ireerd kalpodu,Positive
"""Yerna pura undu vedio tudu pukuli Maya athnd",Neutral
superb...please upload ending scene....,Not Tulu
good Deepak rai § team,Not Tulu
"""Super super. Bhagavatike Ennu super 👌 👌 👌 👌",Not Tulu
No words bro... u r the best👍,Not Tulu
Pls sir plSzzzzz full video padle plz sir,Positive
How many people came in feb\march 2022 to find his pukli,Not Tulu
"rafik   karkala""",Not Tulu
"ಜೈ ತುಲುನಾಡ್ (ರಿ.) ಕೂಟದ ಪದುಕೆರಾದ್ ಸೇರುನಕುಲು ಈ ಫಾರ್ಮ್ ದಿಂಜಾಲೆ:
",Neutral
What a performEnglishce sunilanna suprb...Telth telth telkeda kadya pudand...Prashamsada levelg ittund performEnglishce...,Positive
zee kannada.    gattimela idu  gattimela gattimidh bendr dekdeelaaaa😉,Neutral
Sooper comedy bokka laastgu Good msg koriar,Positive
Ultimate lyrics ❤and singing.....just wow ❤,Not Tulu
Avra mother tongue tulu. Naavu avarige haage helodu Sari illa .Avara swathantrakke addi barbardu..,Not Tulu
katapa gangar l parpe,Neutral
ರಾಗಿ ಮುದ್ದೆ ಮರ್ಯಾದೆ ಹೋಯಿತು,Positive
@deadlysoul1022  😂😂😂 ee yq,Not Tulu
😍Bella Neer bokka Bachire Pool,Neutral
ಕುರಿಯ ಹಾಲಿನಲ್ಲಿ  ನೊರೆ ಜಾಸ್ತಿ  ಕುರಬನ  ಹೃದಯದಲ್ಲಿ  ಪ್ರೀತಿ ಜಾಸ್ತಿ....,Not Tulu
Balthara barre mannuda karana,Positive
Super manasg ontara kushi korpina tulu filmda comedy actorsnakl super love u,Mixed
"ತುಳು ಬರವುಮಾಲೆದ 11ನೇ ಅಚ್ಚರ : ē, ಏ, ഏ

#TuluBaravu
#ReviveTuluScript ",Neutral
ಬಾರಿ ಶೋಕು ಆತುಂಡ್,Positive
"ತುಲುನಾಡ ಬೇತೆ ಸಂಸ್ಕೃತಿನ್ ಪಟ್ಪೊನ್ಲೆ ,ಅತ್ತ ನಿಕಲ ಬೇತೆ ಟ್ಯಾಲೆಂಟ್ಸ್ ನ್ ತೋಜಲೆ ಯಾನೇ ಸುರುಕು  ಸಪೋರ್ಟ್ ಮಲ್ಪುವೆ",Mixed
One of this.... Superb extradinory.. Next level song... 😍😍,Not Tulu
MarAli prayatnisu geluvu nimmade,Not Tulu
Pucche da kathe yedde etthund,Positive
Rohit @ ayitha artha namak arthayi bokkala dumbu konopina sariyath 🌴👑🌴🤔,Negative
Ernala santhu na Jodi super 😂😂😂🤣,Positive
Make more videos,Not Tulu
Laxman Sir Pandina Correct..,Mixed
"Sudeepanna as always👌👌👌👌🤩🤣""",Not Tulu
What a funny video... Dislike maldhinakleg marl mevakaade janakulu,Negative
Bale telpali epa tundala bare layak apundu,Positive
"Best of luck.""",Not Tulu
O Dever erena santunu tojale,Neutral
It's ok.. Stay safe and take care of yourself and Family!,Not Tulu
Nalla  irukku nenaikkire,Not Tulu
super good quality jokes..without double meaning,Not Tulu
Deeraj sir super voice😊,Not Tulu
ಈರ್ ಆವೊಲಿ ಮಾರ್ರೆ..heroine ನೇ ಮದಿಮೆ ಆತರ್ . made for each other in acting ️,Positive
Thuinath yavondijji ayyo... god super athnd but full movie add malpuletha pls........,Positive
"""This is what """" Bale Telipaale """" AWSM.""",Not Tulu
"""Wowwww.....superb....ck Anna erena shirt olpa paridind avlu...toolege vora.....😂😂😂😂😂 .....",Positive
Bappangai sari thinpale,Neutral
Full movie yapa sir,Neutral
Indu performance att bucket pattini,Mixed
yenchi savda pukuli marre🤣,Neutral
E pukkuli pukkuli thood thood saakand matter,Neutral
Jai Hind Jai Namma Karnataka jai Namma Tulunadu,Not Tulu
Kori sukka special banalidu maldene ulai leppare alenu karma 🤣🤣,Negative
Namma Tulu nadh,Positive
baari porluda performance prashamsa kaup congrats,Positive
"ನೆಕ್ಸ್ಟ್ ನಿಮ್ಮ ವಿಡಿಯೋ ""ಒಂದು ಪುಚ್ಚೆಯ ಕಥೆ"" ಆದಷ್ಟು ಬೇಗ ಬರಲಿ",Not Tulu
Cameraman jeetu ಜೊತೆ..............,Not Tulu
SUPERB  !!!!!!!!!! GREAT ENTERTAINMENT.......PRASHAMSA TEAM KAUP,Not Tulu
Season 4 alli prashamsa team irlilva?,Neutral
actually baari yedde undu,Positive
Bro pukuli panda dada 😂😂,Neutral
ಮುಖಾಂತರ ನಮಗೆ ಪರಿಚಯವನ್ನು ಮಾಡಿಸುವ ಕ್ರಮಬದ್ಧವಾದ ವಾತಾವರಣವನ್ನೇ ಸೃಷ್ಟಿ ಮಾಡುವ ನಿಮಗೆ ಎಲ್ಲರಿಗ್ಗೂ ಧನ್ಯವಾದಗಳು,Not Tulu
NAMMA TV CHANNEL tulugana,Not Tulu
"More songs Coming 🔜 🙌🏻""",Not Tulu
ಪ್ಲೀಸ್ ಫ಼ುಲ್ಲ್ ಮೂವಿ ಅಪ್ಲೊಡ್ ಮಲ್ಪುಲೆ,Positive
+Sridhar Shettigar SUBSCRIBE our CHANNEL www.youtube.com/nammatvchannel,Not Tulu
Maatherla tulu chithrarangan pugarnaga masth proud aapundu.prathi janmogla tuluveraadh puttodundh aapundu....,Positive
Ha ha ha ..ayoooo ajiiiiii love uuuuu😂😂😂🤣😘,Not Tulu
Esta ijji dane  selfie gepere,Neutral
Su .me kering beypad thintha he,Neutral
Comedy with grear message,Not Tulu
😂😂 Mone daane nanala thojadhijar Santhu na 😂,Neutral
"Bolar padil vamanjoor budnda double meaning malpandhe eregla comedy malpereg gothujji""",Negative
Arena goli baje very crispy 😅😅😅😅😅 uncle na bonda😅😅😅😅😅😅😅,Positive
Congrats anna for 100k subscribers,Not Tulu
ಬಲೇ ತೆಲಿಪ್ಪಾಪೇ ನೋಡಿದ್ರೆ,Not Tulu
ಎಡ್ಡೆ ಎಪಿಸೋಡ್... ಮಾತೆರ್ನಲ ಅಭಿನಯ ಸೂಪರ್...ಜೈ ಸುಂದರನ್ನ..ಜೈ ದೀಪಕಣ್ಣ...,Positive
Are rikshawalewt an acting,Mixed
What an acting😍 we lov vamanjoor,Not Tulu
super my fvrt program,Not Tulu
Adakke sariyāgi nanna aṇṇa nirdēśakanāgiddāne.,Not Tulu
Need sachin aane also for this kinda chalenge ❤️,Not Tulu
1 minutes challenge ejja mare nigalna,Neutral
Enchina comedy ye,Mixed
Daneye kappu colour dongi malpuna . Niklena bari over and gottanda,Mixed
"""I think you are much familiar with uppala place",Not Tulu
Yaan mann thumbunu,Neutral
He is very handsome bt ayna pukuli maya athina ol nadnu,Neutral
Thnk uu sir...thnk u so much... keep support..,Not Tulu
Kudla d olpa ella erena .....spr samual ❤,Positive
"ತುಲು ಬಾಸೆನ್ ಅಧಿಕೃತ ಮಲ್ಪರೆಗಾದ್ ಅರಿಕೆ

#TuluOfficialinKA_KL #Tulu #JaiTulunad #TuluLanguage ",Neutral
